;start_date;end_date;counts;keywords;date
125;2022-05-29 03:00:00+00:00;2022-05-29 04:00:00+00:00;86;electric cars;2022-05-29
126;2022-05-29 04:00:00+00:00;2022-05-29 05:00:00+00:00;90;electric cars;2022-05-29
127;2022-05-29 05:00:00+00:00;2022-05-29 06:00:00+00:00;68;electric cars;2022-05-29
128;2022-05-29 06:00:00+00:00;2022-05-29 07:00:00+00:00;80;electric cars;2022-05-29
129;2022-05-29 07:00:00+00:00;2022-05-29 08:00:00+00:00;108;electric cars;2022-05-29
130;2022-05-29 08:00:00+00:00;2022-05-29 09:00:00+00:00;94;electric cars;2022-05-29
131;2022-05-29 09:00:00+00:00;2022-05-29 10:00:00+00:00;102;electric cars;2022-05-29
132;2022-05-29 10:00:00+00:00;2022-05-29 11:00:00+00:00;102;electric cars;2022-05-29
133;2022-05-29 11:00:00+00:00;2022-05-29 12:00:00+00:00;160;electric cars;2022-05-29
134;2022-05-29 12:00:00+00:00;2022-05-29 13:00:00+00:00;125;electric cars;2022-05-29
135;2022-05-29 13:00:00+00:00;2022-05-29 14:00:00+00:00;192;electric cars;2022-05-29
136;2022-05-29 14:00:00+00:00;2022-05-29 15:00:00+00:00;221;electric cars;2022-05-29
137;2022-05-29 15:00:00+00:00;2022-05-29 16:00:00+00:00;185;electric cars;2022-05-29
138;2022-05-29 16:00:00+00:00;2022-05-29 17:00:00+00:00;148;electric cars;2022-05-29
139;2022-05-29 17:00:00+00:00;2022-05-29 18:00:00+00:00;139;electric cars;2022-05-29
140;2022-05-29 18:00:00+00:00;2022-05-29 19:00:00+00:00;117;electric cars;2022-05-29
141;2022-05-29 19:00:00+00:00;2022-05-29 20:00:00+00:00;147;electric cars;2022-05-29
142;2022-05-29 20:00:00+00:00;2022-05-29 21:00:00+00:00;140;electric cars;2022-05-29
143;2022-05-29 21:00:00+00:00;2022-05-29 22:00:00+00:00;134;electric cars;2022-05-29
144;2022-05-29 22:00:00+00:00;2022-05-29 23:00:00+00:00;152;electric cars;2022-05-29
145;2022-05-29 23:00:00+00:00;2022-05-30 00:00:00+00:00;138;electric cars;2022-05-29
146;2022-05-30 00:00:00+00:00;2022-05-30 01:00:00+00:00;123;electric cars;2022-05-30
147;2022-05-30 01:00:00+00:00;2022-05-30 02:00:00+00:00;101;electric cars;2022-05-30
148;2022-05-30 02:00:00+00:00;2022-05-30 03:00:00+00:00;107;electric cars;2022-05-30
149;2022-05-30 03:00:00+00:00;2022-05-30 04:00:00+00:00;126;electric cars;2022-05-30
150;2022-05-30 04:00:00+00:00;2022-05-30 05:00:00+00:00;101;electric cars;2022-05-30
151;2022-05-30 05:00:00+00:00;2022-05-30 06:00:00+00:00;82;electric cars;2022-05-30
152;2022-05-30 06:00:00+00:00;2022-05-30 07:00:00+00:00;112;electric cars;2022-05-30
153;2022-05-30 07:00:00+00:00;2022-05-30 08:00:00+00:00;173;electric cars;2022-05-30
154;2022-05-30 08:00:00+00:00;2022-05-30 09:00:00+00:00;171;electric cars;2022-05-30
