,CountryCode,CountryName,Year,elec_energy_prod_hydroelectric_percent,elec_energy_prod_naturalgas_percent,elec_energy_prod_nuclear_percent,elec_energy_prod_oil_gas_coal_percent,elec_energy_prod_renewable_percent,elect_access_percent_population,elect_consumption_Kwh_per_capita,female_population_percent,gdp_growth_annual_percent,population_0_14_percent,population_15_64_percent,population_65_plus_percent,population_density,population_largest_city,rural_population_percent,surface_area,total_population 
4831,SRB,Serbia,1997,34.078227205980504,1.50580696836203,0.0,65.9217727940195,0.0,,4291.31780539488,50.791508303624894,7.184832847773889,21.3149697677997,66.2529074145003,12.4321228177,86.8568602789847,1125453.0,47.618,88360.0,7596501.0
4832,SRB,Serbia,1998,34.098603470165,1.38859500634786,0.0,65.901396529835,0.0,,4302.99911003872,50.8332257802973,2.43045663133448,21.1044910838533,66.0088557515227,12.886653164624,86.5280699748456,1124227.0,47.349,88360.0,7567745.0
4833,SRB,Serbia,1999,41.0655492367555,1.07153546842263,0.0,58.9344507632445,0.0,,3979.36396220838,50.8776682905817,-12.1465874028003,20.9192349771476,65.7628664308393,13.3178985920131,86.2154241939172,1123003.0,47.081,88360.0,7540401.0
4834,SRB,Serbia,2000,35.1493848857645,1.14821323960164,0.0,64.8506151142355,0.0,100.0,4198.71570574319,50.9226585296935,7.759209405423991,20.710341607890506,65.5632925744978,13.7263658176117,85.9403841756231,1121778.0,46.812,88360.0,7516346.0
4835,SRB,Serbia,2001,35.4397950469684,1.4232849416453202,0.0,64.5602049530316,0.0,,4434.37024092839,50.967989143314,4.99271403145114,20.4490317125024,65.5333359758998,14.0176323115978,85.7927395380745,1120558.0,46.544,88360.0,7503433.0
4836,SRB,Serbia,2002,33.5139760410724,1.43468339988591,0.0,66.4860239589275,0.0,,4478.248156574289,51.0131379186404,7.11578808705661,20.0847393070003,65.62767492637079,14.2875857666289,85.75384175623141,1120854.0,46.276,88360.0,7500031.0
4837,SRB,Serbia,2003,27.8544364644008,1.5184075100378898,0.0,72.14556353559921,0.0,,4332.6790623895895,51.054906585793,4.41541405932722,19.6534782349284,65.8269758344733,14.5195459305983,85.5315687171278,1125729.0,46.008,88360.0,7480591.0
4838,SRB,Serbia,2004,29.5096322241681,1.8096906012843,0.0,70.49036777583191,0.0,,4258.25156833764,51.0894253561599,9.046513062115949,19.2269572653705,66.0913099088011,14.6817328258284,85.3322318774297,1130632.0,45.741,88360.0,7463157.0
4839,SRB,Serbia,2005,32.9878817788013,0.869112244338433,0.0,67.0121182211987,0.0,,3921.90645886198,51.1141614194892,5.540426973861929,18.8521213038218,66.3888987159133,14.7589799802649,85.0762520009147,1135543.0,45.474,88360.0,7440769.0
4840,SRB,Serbia,2006,30.0567418656287,0.3234560456127849,0.0,69.9432581343713,0.0,,4040.44002019006,51.1271622631287,4.90434885567026,18.4301936915878,66.748238075056,14.8215682333562,84.74238509032699,1140482.0,45.207,88360.0,7411569.0
4841,SRB,Serbia,2007,27.4610123119015,1.10259917920657,0.0,72.5389876880985,0.0,,4159.13722524679,51.1295455936917,5.888760078422519,18.0744928481955,67.100866746335,14.8246404054695,84.39948547907609,1145443.0,44.94,88360.0,7381579.0
4842,SRB,Serbia,2008,25.967255844261604,1.12676821156091,0.0,74.03274415573841,0.0,,4291.843157934551,51.125825851703794,5.366683423997769,17.7767910217152,67.4014425544224,14.8217664238625,84.0409558655385,1150432.0,44.89,88360.0,7350222.0
4843,SRB,Serbia,2009,27.94612794612789,0.458654789363451,0.0,72.05387205387208,0.0,,4224.39766544863,51.1225298417446,-3.1159716917241003,17.5069183854463,67.5957098802149,14.8973717343388,83.70463068831471,1155428.0,44.841,88360.0,7320807.0
4844,SRB,Serbia,2010,31.7745771317104,0.8737941907383159,0.0,68.2254228682896,0.0,100.0,4358.81217362396,51.1243788805135,0.584478087925319,17.245082981143902,67.6484367117686,15.1064803070875,83.36880859821629,1160454.0,44.792,88360.0,7291436.0
4845,SRB,Serbia,2011,22.793498842836105,1.31758889122659,0.0,77.2065011571639,0.0,,4489.57085049569,51.1331432672926,1.40146573586644,17.0351093947272,67.5684885472226,15.396402058050198,82.7132289046421,1165501.0,44.742,88360.0,7234099.0
4846,SRB,Serbia,2012,25.6725000691161,1.31873600398109,0.0,74.3081474109093,0.0165878742639131,100.0,4386.5345515821,51.14743228503,-1.01527038761317,16.8460991933496,67.3952845163159,15.7586162903345,82.3127944203064,1170577.0,44.693,88360.0,7199077.0
4847,SRB,Serbia,2013,,,,,,,,51.1649709290129,2.57173410729068,16.663334304883698,67.1592893174402,16.1773763776761,81.9132403384404,1175675.0,44.627,88360.0,7164132.0
4872,SSD,South Sudan,1990,,,,,,0.0,,50.2948358176318,,44.2281493668206,53.0265229018828,2.7453277312966096,,105651.0,86.724,,5762190.0
4873,SSD,South Sudan,1991,,,,,,,,50.2901562695758,,44.3916632362391,52.807546168642304,2.80079059511866,,108905.0,85.926,,5698998.0
4874,SSD,South Sudan,1992,,,,,,,,50.2838640263155,,44.407328921306,52.74652189467239,2.84614918402166,,112265.0,85.088,,5593347.0
4875,SSD,South Sudan,1993,,,,,,,,50.2757289257548,,44.32547609826611,52.7959627829768,2.87856111875708,,116106.0,84.374,,5484372.0
4876,SSD,South Sudan,1994,,,,,,,,50.26579238461821,,44.2926847970885,52.8174508889147,2.88986431399685,,121598.0,84.251,,5425099.0
4877,SSD,South Sudan,1995,,,,,,,,50.2544302704075,,44.4736080059111,52.65647502893479,2.86991696515405,,127349.0,84.127,,5452771.0
4878,SSD,South Sudan,1996,,,,,,,,50.2422091667901,,44.593240635268295,52.5045650934785,2.90219427125313,,133381.0,84.003,,5584223.0
4879,SSD,South Sudan,1997,,,,,,,,50.229612752027705,,44.689063158962405,52.3766086540079,2.93432818702964,,139681.0,83.877,,5806951.0
4880,SSD,South Sudan,1998,,,,,,,,50.2168500996604,,44.7968778312626,52.2386342448522,2.96448792388516,,146287.0,83.751,,6092688.0
4881,SSD,South Sudan,1999,,,,,,,,50.203691038532,,44.865526092708,52.1395451624277,2.99492874486435,,153206.0,83.624,,6398416.0
4882,SSD,South Sudan,2000,,,,,,0.0,,50.1897579844252,,44.837702799597,52.1331767717282,3.02912042867479,,160463.0,83.496,,6692999.0
4883,SSD,South Sudan,2001,,,,,,,,50.17492566179621,,44.9013658079711,52.0395268704675,3.0591073215614,,168041.0,83.368,,6967817.0
4884,SSD,South Sudan,2002,,,,,,,,50.1592302312229,,44.839924365813,52.0701727317935,3.08990290239349,,175989.0,83.239,,7233237.0
4885,SSD,South Sudan,2003,,,,,,,,50.1425991323647,,44.6813103732885,52.19548261629311,3.12320701041842,,184313.0,83.109,,7499695.0
4886,SSD,South Sudan,2004,,,,,,,,50.1251463166235,,44.4822575357557,52.3582154664507,3.15952699779356,,193043.0,82.977,,7784488.0
4887,SSD,South Sudan,2005,,,,,,,,50.1070876360571,,44.2865153530139,52.5150409115758,3.19844373541033,,202161.0,82.846,,8099908.0
4888,SSD,South Sudan,2006,,,,,,,,50.0887260544145,,44.1646767883951,52.60278682812079,3.232536383484109,,211722.0,82.713,,8445659.0
4889,SSD,South Sudan,2007,,,,,,,,50.070211599008296,,44.01463559335011,52.7183782646352,3.266986142014709,,221736.0,82.58,,8815495.0
4890,SSD,South Sudan,2008,,,,,,,,50.0515496495775,,43.8344577535038,52.8631720051196,3.30237024137659,,232239.0,82.445,,9208598.0
4891,SSD,South Sudan,2009,,,,,,,,50.0327230843539,5.04164187983345,43.6117140536555,53.048920647403705,3.33936529894081,,243239.0,82.301,,9623176.0
4892,SSD,South Sudan,2010,,,,,,1.5,,50.013787137143,5.49341639529945,43.3452477135378,53.2765109046659,3.3782413817963097,,254761.0,82.145,,10056475.0
4893,SSD,South Sudan,2011,,,,,,,,49.994805007972296,-4.6403167360085895,43.182238988282,53.4188566031869,3.3989044085311297,,266828.0,81.978,644330.0,10510122.0
4894,SSD,South Sudan,2012,,,,,,5.062558,,49.976035057391606,-46.0821223743007,42.9604495118355,53.6187063338756,3.42084415428888,,279467.0,81.8,644330.0,10980623.0
4895,SSD,South Sudan,2013,,,,,,,,49.957865548669005,13.1297311406943,42.6979843388357,53.8609685336146,3.44104712754969,,292705.0,81.61,644330.0,11453810.0
4944,STP,Sao Tome and Principe,1990,,,,,,50.28774,,50.48382126348229,,47.6997578692494,47.5923398635263,4.7079022672243,118.307291666667,,56.352,960.0,113575.0
4945,STP,Sao Tome and Principe,1991,,,,,,,,50.468507333908605,,47.5237273511648,47.7704918032787,4.705780845556509,120.729166666667,,55.207,960.0,115900.0
4946,STP,Sao Tome and Principe,1992,,,,,,,,50.4537542460244,,47.0172206918696,48.27286093319589,4.70991837493452,123.277083333333,,54.236,960.0,118346.0
4947,STP,Sao Tome and Principe,1993,,,,,,,,50.4398050459664,,46.365298844011896,48.9230361856532,4.71166497033488,125.884375,,53.283,960.0,120849.0
4948,STP,Sao Tome and Principe,1994,,,,,,,,50.4265395157236,,45.8213723868373,49.47534017742751,4.70328743573526,128.45625,,52.327,960.0,123318.0
4949,STP,Sao Tome and Principe,1995,,,,,,,,50.4144987031998,,45.4691552500517,49.8440657469728,4.686779002975481,130.93125,,51.369,960.0,125694.0
4950,STP,Sao Tome and Principe,1996,,,,,,,,50.4032951401372,,45.0776108670846,50.22118706329229,4.70120206962313,133.277083333333,,50.408,960.0,127946.0
4951,STP,Sao Tome and Principe,1997,,,,,,,,50.3935131811544,,44.9127661209746,50.3850587964031,4.702175082622401,135.53125,,49.45,960.0,130110.0
4952,STP,Sao Tome and Principe,1998,,,,,,,,50.384022255148,,44.8587886668078,50.443742251519495,4.69746908167277,137.795833333333,,48.491,960.0,132284.0
4953,STP,Sao Tome and Principe,1999,,,,,,,,50.3736942987474,,44.7497065422505,50.557198258569706,4.693095199179799,140.21041666666702,,47.533,960.0,134602.0
